,State,Tally
ADA County Sheriff's Office,ID,1
Adams County Sheriff's Office,CO,1
Adams County Sheriffеs,CO,1
Ahlstead Police Department,NH,1
Aiken De_partment of Public Safety,SC,1
Alabama State Police,AL,1
Alachua County Sheriff's Office,FL,1
Alameda County Sheriff's Office,CA,2
Alameda Police Department,CA,1
"Albany Police Department, Shackelford County Sheriffеs Office",TX,1
Albemarle County Police Department,VA,1
Albuquerque Police Department,NM,4
Alexandria Police Department,VA,1
Alhambra Police Department,CA,1
Alleghany County Sheriffеs Office,NC,1
Allentown Police Department,PA,1
Alto Police Department,TX,1
Amarillo Police Department,TX,1
Ames Police Department Officer Adam McPherson,IA,1
Anchorage Police Department,AK,3
Anderson County Sheriff's Office,SC,2
Anderson Police Department,SC,2
Annapolis Police Department,MD,1
Antioch Police Department,CA,1
Arizona Department of Public Safety,AZ,1
Arizona Department of Transportation,AZ,1
Arkansas State Police,AR,2
Arlington County Sheriff's Office,VA,1
Arlington Heights Police Department,IL,1
Arlington Police Department,TX,1
Asheville Police Department,NC,1
Ashland Police Department,MA,1
Asuza Police Department,CA,1
Atlanta Police Department,GA,1
Aurora Police Department,CO,1
Austin Police Department,TX,3
Avondale Estates Police Department,GA,1
Avondale Police Department,AZ,2
Bakersfield Police Department,CA,5
Baltimore County Police Department,MD,4
Baltimore Police Department,MD,11
Banning Police Department,CA,1
Bannock County Sheriff's Department,ID,1
Barbour County Sheriff's Department,AL,1
Barry County Sheriff's Office,MI,1
Bastrop County Sheriff's Office,TX,1
Baton Rouge Police Department,LA,1
Bay Pines VA Police,FL,1
Beaufort Police Department,NC,1
Belding Police Department,MI,1
Belleville Police Department,NJ,1
"Bellevue, WA Police Department",WA,1
Beloit Police Department,WI,1
Beltrami County Sheriff's Office,MN,1
Bend Police Department,OR,1
Benton Police Department,AR,1
Berkeley Police Department,CA,1
Bernalillo County Sheriff's Office,NM,1
Bexar County Sheriff's Office,TX,1
Billings Police Department,MT,2
Bladensburg Police Department,MD,1
Bloomington Police Department,IL,1
Blount County Sheriff Department,TN,1
Blue Island Police Department,IL,1
Blytheville Police Department,AR,1
Boardman Police,OH,1
Boca Raton Police Department,FL,2
Bolivar County Sheriff's Office,MS,1
Boone County Sheriff's Department,IL,1
Boston Police Department,MA,3
Bothell Police Department,WA,1
Boulder County Sheriff's Office,CO,1
Boulder Police Department,CO,1
Bradenton Police Department,FL,1
Brevard County Sheriff's Office,FL,2
Bridgeport Police Department,CT,2
"Brockton Police Department, Massachusetts State Police Department",MA,1
Brooklyn Center Police Department,MN,1
Broward County Sheriff's Office,FL,6
Brown County Sheriff's Department,IN,2
Brown County Sheriff's Department,OH,2
Brusly Police Department,LA,1
Buchanan County Sheriff's Department,MO,1
Buckeye Police Department,AZ,1
Buckner Police Department,IL,1
Buncombe County Sheriffеs Office,NC,1
Burlington Police Department,VT,1
Caddo County Sheriff's Office,LA,1
Calais Police Department,ME,1
Caldwell County Sheriffеs Office,NC,1
Calhoun Police Department,AL,1
California Department of Corrections and Rehabilitation,CA,1
"California Department of Corrections and Rehabilitation, Office of Correctional Safety, Fugitive Apprehension Team",CA,1
California Highway Patrol,CA,1
"California Highway Patrol, San Bernardino Sheriff's Office",CA,1
"California Highway Patrol, Yuba County Sheriff's Department, Yuba City Police Department and Wheatland Police Department",CA,1
California State University Police Department,CA,1
Calumet City Police Department,IL,1
Cape Coral Police Department,FL,1
Carlsbad Police Department,NM,1
Carmel Police Department,IN,1
Carteret County Sheriff's Office,NC,1
Cascade County Sheriffеs Office,MT,1
Catawba County Sheriff's Office,NC,1
Charlotte-Mecklenburg Police Department,NC,4
Chesterfield Police Department,VA,1
Chicago Police Department,IL,13
Chico Police Department,CA,1
Cincinnati Police Department,OH,1
Citrus Heights Police Department,CA,1
Clackamas County Sheriff's Office,OR,1
Clark County Sheriffеs Office,WI,1
Clayton County Police Department,GA,2
Clearwater Police Department,FL,2
Cleveland Police Department,OH,1
Cobb County Police Department,GA,3
Coeur dеAlene Police Department,ID,1
Coffeeville Police Department,MS,1
Columbia County Multi-Jurisdictional Task Force,FL,1
Columbia County Sheriffеs Department,GA,1
Columbia Police Department,SC,1
Columbus Division of Police,OH,7
Columbus GA Police Department,GA,2
Concord Police Department,CA,1
Connecticut State Police,CT,2
Conroe Police Department,TX,1
Cook County Sheriffеs Office,IN,1
Copperas Cove Police Department,TX,1
Coralville Police Department,IA,1
Corpus Christi Police Department,TX,1
Corsicana Police Department,TX,1
Coshocton County Sheriff,OH,1
Crawford County Sheriff's Office,MI,1
Crow Wing County Sheriffеs Office,MN,1
Culver City Police Department,CA,1
Cumberland County Sheriff's Office,TN,1
Cushing Police Department,OK,1
Custer County Sheriff's Department,OK,1
DC Metropolitan Police Department,DC,4
"DPS Highway Patrol, Texas Parks and Wildlife",TX,1
Dallas Police Department,TX,9
Daly City Police Department,CA,1
Danvers Police Department,MA,1
"Davie Police Department, Broward County Sheriff's Department",FL,1
Dayton Police Department,OH,1
DeLand Police Department,FL,1
Denver City Texas Police Department,NM,1
Denver County Sheriff's Office,CO,1
Denver Police Department,CO,4
Department of Homeland Security,TX,1
Deptford Township Police Department,NJ,1
Des Moines Police Department,IA,2
Deschutes County Sheriff's Department,OR,1
Desert Hot Springs Police Department,CA,1
Detroit Police Department,MI,1
Detroit Transportation Corporation,MI,1
Dickenson County Sheriff's Office,VA,1
Douglas County Sheriff's Deputies,OR,1
Douglas County Sheriff's Office,OR,3
Douglas County Sheriff's Office,WI,3
Douglas County Sheriff's Office,WA,3
Duluth Police Department,MN,1
Duncanville Police Department,TX,1
Durham Police Department,NC,3
"East Fishkill Police Department, Dutchess County Sheriffеs Office, New York State Police",NY,1
East Millinocket Police Department,ME,1
East Orange Police Department,NJ,1
East Pittsburgh Police Department,PA,1
Effingham County Sheriff's Office,GA,1
El Paso Police Department,TX,4
Elkhart Police Department,IN,2
Elmore County' Sheriff's Department,AL,1
Erie Police Department,PA,1
Escambia County Sheriff's Office,FL,1
Escondido Police Department,CA,1
Essex County Sheriffеs Department,NJ,1
Etowah Police Department,TN,1
Eugene Police Department,OR,1
Evanston Police Deparment,IL,1
"Evanston Police Department, Uinta County Sheriffеs Office",WY,1
Fairfax County Police Department,VA,2
Fairfield Police Department,CA,2
Fannin Department of Public Safety,TX,1
Farmington Police Department,CT,3
Farmington Police Department,NM,3
Fayetteville Police Department,NC,3
Federal Bureau of Investigation,VA,8
Federal Bureau of Investigation,FL,8
Federal Bureau of Investigation,IL,8
Federal Bureau of Investigation,LA,8
Federal Bureau of Investigation,IN,8
Federal Bureau of Investigation,AL,8
Federal Bureau of Investigation,NV,8
Federal Bureau of Investigation,OH,8
"Federal Bureau of Investigation, Jefferson County Sheriff's Office",TN,1
Federal Way Police Department,WA,1
Fife Police Department,WA,1
"Fleming County Sheriff""s Department",KY,1
Florida Highway Patrol,FL,1
Florissant Police Department,MO,1
Fort Bend County Sheriff's Office,TX,1
Fort Lauderdale Police Department,FL,1
Fort Morgan Police Department,CO,1
Fort Wayne Police Department,IN,4
Fort Worth Police Department,TX,6
Fountain Police Department,CO,1
Franklin County Sheriff's Office,NC,1
Franklin Parish Sheriff's Office,TX,1
Frederick County Sheriff's Office,MD,2
Freeport Police Department,TX,2
Fremont Police Department,CA,1
Fresno County Sheriff's Office,CA,2
Fresno Police Department,CA,2
Fruita Police Department,CO,1
Fullerton Police Department,CA,1
Fulton County Sheriff's Office,GA,1
Gardena Police Department,CA,1
Garland County Sheriff's Office,AR,1
Garland Police Department,TX,1
Gastonia Police Department,NC,1
Geneva on the Lake Police Department,OH,1
"Giles County Sheriff's Office, Virginia State Police, Pearisburg Police Department",VA,1
Glendale Police Department,AZ,1
Gloster Police Department,MS,1
Gonzales County Sheriff's Department,TX,1
Gordon County Sheriff's Office,GA,1
Granbury Police Department,TX,1
Grand Forks Air Force Base Security,ND,1
Grand Prairie Police Department,TX,2
Grantsville Police,UT,1
Grapevine Police Department,TX,1
Green Bay Police Department,WI,1
Green Oak Township Police Department; Michigan State Police,MI,1
Greene County Combined SWAT Team,OH,1
Greene County Sheriff's Office,MO,1
Greene County Sheriffеs Office,MO,1
"Greenport Police Department, New York State Police",NY,1
Greensboro Police Department,NC,1
Greenville County Sheriff's Office,SC,2
Greenville Police Department,NC,1
Gwinnett County Police Department,GA,2
Gwinnett Police Department,GA,1
Halifax County Sheriff's Office,NC,1
Haltom City Police Department,TX,1
Hamilton County Sheriff's Office,OH,2
Hamilton County Sheriff's Office,AL,2
Hamilton Police Department,NJ,1
Hampden Police Department,ME,1
Hampton Police Division,VA,1
Hanahan Police Department,SC,1
Harford County Sheriffеs Office,MD,1
Harford County Special Response Team,MD,1
Harlingen Police Department,TX,1
Harris County Sheriff's Office,TX,3
Harrisburg Bureau of Police Department,PA,1
Harrisburg Police Department,PA,1
Hartford Police Department,CT,1
Hawthorne Police Department,CA,1
Hays County SWAT,TX,1
Hayward Police Department,CA,3
Hazelwood Police Department,MO,1
Hazleton Police Department,PA,1
Henderson County Sheriff's Office,TX,1
Henderson Police Department,NV,1
Hialeah Police Department,FL,1
Highland Park Police Department,TX,1
Hillsboro Police Department,OR,1
Hillsborough County Sheriff's Office,FL,3
Hollywood Police Department,FL,1
Homewood Police Department,IL,1
Honolulu Police Department,HI,3
Houston Police Department,TX,9
Howard County Sheriff's Deputy,TX,1
Hudson County Prosecutorеs Office,MD,1
Humboldt County Sheriff's Office,NV,1
Huntington Beach Police Department,CA,1
Huntsville Police Department,AL,2
Huron Police Department,CA,1
Idaho State Police,ID,1
Illinois Department of Natural Resources Conservation Police,IL,1
Independence Police Department,MO,1
"Indian State Police, Bloomington Police Department",IN,1
Indiana State Police Department,IN,1
Indianapolis Metropolitan Police Department,IN,7
Indio Police Department,CA,2
Inglewood Police Department,CA,1
Iowa City Police Department,IA,1
Irving Police Department,TX,1
Irvington Police Department,NJ,1
Isle of Wight County Sheriff's Office,VA,1
Izard County Sheriff's Department,AR,1
Jacksonville Police Department,AR,1
Jacksonville Sheriff's Office,FL,6
James City County Police Department,VA,1
Jamestown Police Department,NY,1
Jefferson City Police Department,TN,1
Jefferson County Sheriff's Office,MO,1
Jefferson County Sheriffеs Office,CO,1
Jersey City Police Department,NJ,1
Johnson County Sheriff's Office,IN,1
Joint Criminal Apprehension Team,UT,2
Kalamazoo Police Department,MI,1
Kanawha County Sheriff's Office,WV,1
Kane County Police Department,IL,1
Kansas Bureau of Investigation,KS,1
Kansas City KS Police Department,KS,2
Kansas City KS Police Department,MO,2
Kansas City Police Department,MO,5
Kauai Police Department,HI,1
Kaufman County Sheriffеs Office,TX,1
Kelso Police Department,WA,1
"Kelso Police Department, Cowlitz County Sheriff's Department",WA,1
Kenner Police Department,LA,1
Kentucky State Police Department,KY,1
Kern County Sheriff's Office,CA,5
Kern County Sheriffеs Office,CA,1
Key West Police Department,FL,1
Killeen Police Department,TX,1
Klamath Falls Police Department,OR,1
Knox County Sheriff's Office,KY,2
Knox County Sheriff's Office,TN,2
Knox County Sheriffеs Department,IN,1
Lafayette Police Department,LA,1
Lake Stevens Police Department,WA,1
Lakewood Police Department,WA,2
Lakewood Police Department,CO,2
Lancaster Police Department,PA,1
Larimer County Sheriffеs Office,CO,1
Las Cruces Police Department,NM,1
Las Vegas Metropolitan Police Department,NV,6
Lauderdale County Sheriff's Department,AL,1
Lee County Sheriff's Office,FL,2
Lee County Sheriff's Office,AL,2
Lee County Sheriffеs Office,FL,1
Leesburg Police Department,FL,2
Leesburg Police Department,GA,2
Levelland Police Department,TX,1
Lewis and Clark County Sheriff's Office,MT,1
Lexington County Sheriff's Office,SC,1
Lexington Police Department,MS,1
Liberty University Police Department,VA,1
Lititz Borough Police Department,PA,1
Little Rock Police Department,AR,4
Little Rock Police Department,AK,4
Long Beach Police Department,CA,6
Longview Police Department,TX,2
Lorain Police Department,OH,1
Los Angeles County Sheriff's Department,CA,23
Los Angeles Police Department,CA,18
Los Banos Police Department,CA,1
Loudoun County Sheriff's Office,VA,1
Louisiana State Police,LA,1
Louisville Metro Police Department,KY,2
Lynn Police Department,MA,1
Lynnwood Police Department,WA,1
Madera County Sheriff's Office,CA,1
Madison County Detention Center,AL,1
Madison County S.W.A.T. Team,AL,1
Madison County Sheriff's Office,IL,1
"Madison County Sheriff's Office, Jefferson County Sheriff's Office",MT,1
Madison Police Department,WI,2
Maine State Police Department,ME,2
Malakoff Police Department,TX,1
Manheim Borough Police Department,PA,1
Mankato Department of Public Safety,MN,1
"Mankato Department of Public Safety, North Mankato Police Department",MN,1
Maricopa County Sheriff's Office,AZ,1
Maricopa County Sheriffеs Office,AZ,2
Marinette County Sheriff's Office,WI,1
Marion County Sheriff's Department,TN,1
"Marion County Sheriff's Office, Oregon State Police",OR,1
Martin County sheriff's Office,FL,1
Martinsburg Police Department,WV,1
Massachusetts State Police Department,MA,5
Massachusetts State Police Special Tactical Operations (STOP) Team,MA,1
Mayes County Sheriff's Office,OK,1
Memphis Police Department,TN,10
Menifee Police Department,CA,1
Mercer County Sheriff's Office,WV,1
Meriden Police Department,CT,1
Mesa County Sheriff's Office,CO,1
Mesa Police Department,AZ,4
Mesquite Police Department,TX,1
Miami Gardens Police Department,FL,1
Miami Police Department,FL,1
Miami-Dade Police Department,FL,15
Michigan State Police Department,MI,1
"Michigan State Police Department, Northfield Township Police Department",MI,1
Middlefield Police Department,OH,1
Middlesboro Police Department,KY,1
Middlesex County Special Operations Response Team,NJ,1
Middletown Police Department,NY,1
Midwest City Police Department,OK,1
Milford Police Department,DE,1
Milwaukee Police Department,WI,4
Minneapolis Police Department,MN,2
Minnetonka Police Department,MN,1
Miramar Police Department,FL,1
Mississippi Highway Patrol,MS,1
Missouri State Highway Patrol,MO,1
"Missouri State Highway Patrol, St. Louis County Police Department, Eureka Police Department, and the Franklin County Sheriffеs Department",MO,1
Mobile County Sheriff's Office,AL,1
Mobile Police Department,AL,2
Mohave County Sheriff's Office,AZ,1
Monroe County Sheriffеs Department,FL,1
Monroeville Police Department,PA,2
Montana Highway Patrol,MT,1
Montebello Police Department,CA,1
Monterey Park Police Department,CA,1
Montgomery County Police Department,MD,2
Moorsetown Police Department,NJ,1
Moreno Valley Police Department,CA,1
Moses Lake Police Department,WA,1
Mt. Morris Township Police,MI,1
Nacogdoches County Sheriff's Office,TX,2
Nassau Police Department,NY,2
Natchitoches Police Department,LA,1
Navasota Police Department,TX,1
Nebraska State Patrol,NE,1
New Britain Police Department,CT,1
New Hampshire State Police,NH,1
"New Hanover County Sheriff's Department, Bureau of Alcohol, Tobacco, Firearms and Explosives",NC,1
New Mexico State Police,NM,3
New Port Richey Police Department,FL,1
New Rochelle Police Department,NY,1
New York Police Department,NY,21
New York State Police,NY,1
Newark Police Department,NJ,1
Nicholas County Sheriffеs Office,WV,1
Norfolk Police Department,VA,1
North Carolina Central University Police,NC,1
"North Carolina Highway Patrol, Edgecombe and Martin County Sheriff's Offices, Robersonville Police Department, other agencies",NC,1
North Carolina State Highway Patrol,NC,1
North Dakota Highway Patrol,ND,1
North Port Police Department,FL,1
North Richland Hills Police Department,TX,1
Northampton Police Department,PA,1
Northern York County Regional Police,PA,1
Northern York County Regional Police Department,PA,1
Norwich Police Department,CT,1
Not reported,CA,6
Oakland County Narcotics Enforcement Team,MI,1
Oakland County Sheriff's Office,MI,1
Oakland Police Department,CA,2
Oil City Police Department,PA,1
Okeechobee County Sheriff's Office,FL,2
Okfuskee County Sheriff's Office,OK,1
Oklahoma City Police Department,OK,8
Oklahoma County Sheriff's Office,OK,1
Oklahoma Highway Patrol,OK,4
Olathe Police Department,KS,1
Omaha Police Department,NE,3
Onondaga County Sheriff's Department,NY,1
Opa-locka Police Department,FL,4
Orange County Sheriff's Department,CA,1
Orange County Sheriff's Office,FL,2
Orange Police Department,CA,1
Oregon State Police,OR,3
"Oregon State Police, The Dalles Police Department, Klickatat County Sheriff's Department",WA,1
Orlando Police Department,FL,5
Orono Police Department,MN,1
Ozark Police Department,AL,1
Pagedale Police Department,MO,1
Palm Beach County Sheriff's Office,FL,4
Panama City Police,FL,1
"Paris Police Department, Lamar County Sheriffеs Office",TX,1
Parker County Sheriff's Department,TX,1
Pasco County Sheriff's Office,FL,1
Pasco Police Department,WA,1
Paulding Sheriff's Office,GA,1
Pawtucket Police Department,RI,1
Pearland Police Department,TX,1
Pembroke Pines Police Department,FL,1
Pennsylvania State Police Department,PA,7
"Pennsylvania State Police, Nazareth Police Department, Tatamy Police Department",PA,1
Penobscot County Sheriffеs Office,ME,1
Pensacola Police Department,FL,1
Perth Amboy Police Department,NJ,1
Phenix City Police Department,AL,2
Philadelphia Police Department,PA,12
Phoenix Police Department,AZ,18
Pierce County Metro SWAT,WA,1
"Pierre Police Department, Hughes County Sheriff's Office, USMS and BIA",SD,1
Pima County Sheriff's Department,AZ,3
Pinal County Sheriff's Office,AZ,1
Pine Bluff Police Department SWAT,AR,1
Pinecrest Police Department,FL,1
Pittsburgh Police Department,PA,1
Plainfield Police Department,IN,1
Pleasantville Police Department,NJ,1
Plumas County Sheriff's Office,CA,1
Pocahontas Police Department,AR,1
Polk County Police Department,GA,1
Polk County Sheriffеs Office,FL,1
Pomona Police Department and Los Angeles County District Attorney's Office,CA,1
Pooler Police Department,GA,1
Port Arthur Police Department,TX,1
Port Hueneme Police Department,CA,2
Port Orange Police Department,FL,1
Portland Police Bureau,OR,2
Portsmouth Police Department,VA,1
Prairie View Police Department,TX,1
Prescott Police Department,AZ,1
Prince George's County Police Department,MD,1
Pueblo Police Department,CO,1
Putnam County Sheriff's Office,FL,1
Raleigh County Sheriff's Office,WV,1
Raleigh Police Department,NC,1
Rancho Cordova Police Department,CA,1
Red Bluff Police Department,CA,1
Redding Police Department,CA,1
Redondo Beach Police Department,CA,2
Reno Police Department,NV,2
Rensselaer County Sheriff's Office,NY,1
Richland County Sheriff's Department,SC,1
Richland County Sheriff's Office,SC,2
Richmond County Sheriff's Office,GA,2
Ridgefield Police Department,CT,1
Riverside County Sheriff's Department,CA,6
Riverside County Sheriffеs Department,CA,2
Riverside Police Department,CA,5
Rochester Police Department,NY,1
Rockport Police Department,AR,1
Ross County Sheriff's Department,OH,1
Roswell officer and Alpharetta Police Departments,GA,1
Round Rock Police Department,TX,2
Ruston Police Departmen,LA,1
Sacramento Police Department,CA,2
Salida Police Department,CO,1
Salinas Police Department,CA,1
San Angelo Police Department,TX,2
San Antonio Police Department,TX,7
San Bernardino County Sheriff's Department,CA,2
San Bruno Police Department,CA,1
San Diego County Sheriff's Department,CA,2
San Diego Police Department,CA,6
San Fernando Police Department,CA,1
San Francisco Police Department,CA,1
San Joaquin County Sheriff's Office; Stockton Police Department,CA,1
San Jose Police Department,CA,3
Sanford Police Department,FL,2
Santa Ana Police Department,CA,6
Santa Barbara Police Departent,CA,1
Santa Clara County Sheriff's Office,CA,2
Santa Clara Police Department / Santa Clara County Sheriff's Office,CA,1
"Santa Cruz County Sheriff's Office, Santa Cruz Police Department",CA,1
Santa Cruz Police Department,SC,1
Santa Maria Police Department,CA,1
Santa Monica Police Department,CA,1
Santa Rosa County Sheriff's Office,FL,1
Santa Rosa Police Department,CA,1
Sardis Police Department,GA,1
Savannah-Chatham Police Department,GA,1
Schenectady Police Department,NY,1
Scottsdale Police Department,AZ,1
Seattle Police Department,WA,5
Selma Police Department,AL,4
Seminole County Sheriff's Office,FL,1
Senath Police Department,MO,1
Sewickley and Allegheny County police,PA,1
Shasta County SWAT team,CA,1
Shreveport Police Department,LA,1
Simi Valley Police Department,CA,1
Sioux Falls Police Department,SD,1
Siskiyou County Sheriffеs Department,CA,1
Snohomish County Sheriff's Office,WA,2
Solon Police Department,OH,1
Sonoma County Sheriff's Department,CA,1
Sonoma County Sheriff's Office,CA,2
Sonoma County Sheriffеs Office,CA,1
South Bend Police Department,IN,1
South Boston Police,VA,1
South Gate Police Department,CA,1
South River Police Department,NJ,1
Sparks Police Department,NV,1
Sparta Police Department,WI,1
Spokane County Sheriffеs Office,WA,3
Spokane Police Department,WA,3
Springfield Police Department,MO,2
Springfield Police Department,MA,2
St. Charles County Sheriff's Office,MO,1
St. Cloud Police Department,FL,1
St. John Parish Sheriff's Office,LA,1
St. John's County Sheriff's Department,FL,1
St. Louis County Police Department,MO,1
St. Louis Metropolitan Police Department,MO,7
St. Louis Park Police Department,MN,1
St. Martin Parish Sheriff's Office,LA,1
St. Paul Police Department,MN,2
St. Petersburg Police Department,FL,8
St. Tammany Parish Sheriff's Office,LA,1
Stanfield Police Department,OR,1
Stark County SWAT,OH,1
Statesboro Police Department,GA,1
Stockton Police Department,CA,1
Suffolk County Police Department,NY,3
Suisun City Police Department,CA,1
Sullivan County Sheriff's Office,TN,1
Sullivan County Sheriffеs Office,TN,1
Sunnyside Police Department,WA,1
Sunnyvale Police Department,CA,1
Surprise Police Department,AZ,1
Suwanee Police Department SWAT,GA,1
Suwannee County Sheriff's Office,FL,3
Tarrant County Sheriff's Department,TX,1
Taylor County Sheriff's Office,GA,1
Tempe Police,AZ,1
Tempe Police Department,AZ,1
Texas Department of Public Safety,TX,1
Thornton Police Department,CO,2
Thornton Police Department,IL,2
Three Rivers Police Department,TX,1
Tipton County Sheriff's Department,TN,1
Tipton County Sheriffеs Office,TN,1
Titusville Police Department,FL,1
Toledo Police Department,OH,1
Topeka Police Department,KS,1
Torrance Police Department,CA,1
Town of Menasha Police Department,WI,1
Trenton Police Department,NJ,1
Trenton Police Department SWAT,NJ,1
Trinity County Sheriff's Office,CA,1
Troy Police Department,OH,2
Tucson Police Department,AZ,5
Tukwila Police Department,WA,1
Tulare County Sheriffеs Department,CA,1
Tulare Police Department,CA,1
Tularosa Police Department,NM,1
Tulsa Police Department,OK,1
Tuscaloosa Police Department,AL,1
Tuscola County Sheriff's Department,MI,1
U.S. Border Patrol,TX,5
U.S. Border Patrol,CA,5
U.S. Capitol Police and uniformed Secret Service,DC,1
U.S. Marshals East Valley Fugitave Task Force,AZ,1
U.S. Marshals Service,WA,4
U.S. Marshals Service,NY,4
U.S. Marshals Service,NC,4
Union City Police Department,CA,3
Union County Sheriff's Office,NC,1
University of Akron Police Department,OH,1
University of the Incarnate Word Campus Police Department,TX,1
Upper Darby Police Department,PA,1
"Utah County Sheriff's Office, Davis County Sheriff's Offices, Utah Highway Patrol",UT,1
Vacaville Police Department,CA,2
Valentine Police Department,NE,1
Vallejo Police Department,CA,2
Ventura County Sheriff's Office,CA,3
Vernal Police Department,UT,1
Verona Police Department,MS,1
Virginia Beach Police Department,VA,1
Visalia Police Department,CA,3
Volusia County Sheriff's Office,FL,1
Wake County Sheriff's Office,NC,2
Walworth County Sheriff's Office,WI,2
Warminster Police Department,PA,1
Warner Robins Police Department,GA,1
Warr Acres Police Department,OK,1
Warren Police Department,OH,1
Washoe County Sheriff's Office,NV,1
Watertown Police Department,MA,1
Waycross Police Department,GA,2
Weare Police Department,NH,1
Weber County Sheriff's Office,UT,1
Wenatchee Police Department,WA,2
West Baton Rouge Parish Sheriff's Office,LA,1
West Columbia Police Department,SC,1
West Manheim Police Department,PA,1
West Palm Beach Police Department,FL,1
West Virginia State Police Department,WV,3
"West Virginia State Police special response team, Drug Enforcement Administration",WV,1
Western Berks Regional Police,PA,1
Westerville Division of Police,OH,1
Westfield Police Department,MA,2
Westfield Police Department,PA,2
Wheeling Police Department,WV,1
Wichita Police Department,KS,2
Willard Police Department,UT,1
Willimantic Police Department,CT,1
Wilmington Police Department,NC,3
Wilmington Police Department,DE,3
Wilson and Johnston County Sheriff's Office,NC,1
"Winchester Police Department, Illinois State Police",IL,1
Winfield Police Department,AL,1
Winter Garden Police Department,FL,1
Woodland Park Police Department,CO,1
Worth County Sheriffеs Office,IA,1
Yellowstone County Sheriff's Office,MT,3
Yucaipa Sheriff's Department,CA,1
Yuma County Sheriff's Office,AZ,1
Yuma Police Department,AZ,1
